Elapsed;Emotion;VideoFile;VideoElapsed;Timestamp
0.00;neutral;video.mp4;0.00;2025-11-14 02:49:53.985
52.45;happy;video.mp4;52.45;2025-11-14 02:50:46.710
64.51;neutral;video.mp4;64.51;2025-11-14 02:50:58.753
96.99;happy;video.mp4;96.99;2025-11-14 02:51:31.407
106.16;neutral;video.mp4;106.16;2025-11-14 02:51:40.420
159.46;happy;video.mp4;159.46;2025-11-14 02:52:33.738
164.94;neutral;video.mp4;164.94;2025-11-14 02:52:39.251
171.51;happy;video.mp4;171.51;2025-11-14 02:52:45.773
178.05;neutral;video.mp4;178.05;2025-11-14 02:52:52.369
179.44;end;video.mp4;179.44;2025-11-14 02:52:54.705
